                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.34554,                0.29665,                0.87991,                0.95272,                 0.8066,                0.87962,                 0.7995,                0.47454,                0.31454,                0.89268,               0.005398,               0.005398,               0.005398
                    122,                0.34776,                0.29599,                0.88063,                0.95199,                0.80689,                0.87964,                0.79927,                0.47482,                0.31441,                0.89277,              0.0053594,              0.0053594,              0.0053594
                    123,                0.34132,                0.29521,                0.88016,                0.95325,                0.80556,                0.87954,                0.79938,                0.47461,                0.31446,                0.89286,              0.0053207,              0.0053207,              0.0053207
                    124,                0.34687,                0.29788,                0.88254,                 0.9539,                0.80518,                0.87918,                0.79934,                0.47519,                0.31467,                  0.893,               0.005282,               0.005282,               0.005282
                    125,                0.34566,                0.29561,                0.88005,                0.95298,                0.80518,                0.87938,                0.79944,                0.47512,                0.31422,                0.89291,              0.0052434,              0.0052434,              0.0052434
                    126,                0.33889,                 0.2928,                0.87907,                0.95342,                0.80518,                0.87972,                0.79934,                0.47492,                0.31404,                0.89283,              0.0052047,              0.0052047,              0.0052047
                    127,                 0.3432,                0.29392,                0.87914,                0.95247,                0.80518,                0.87939,                0.79934,                0.47478,                0.31373,                0.89291,               0.005166,               0.005166,               0.005166
                    128,                0.35142,                 0.3033,                0.88089,                0.95505,                0.80401,                 0.8802,                0.79917,                0.47465,                0.31371,                0.89283,              0.0051273,              0.0051273,              0.0051273
                    129,                0.34532,                  0.296,                0.88024,                0.94528,                0.81345,                0.88018,                 0.7991,                0.47483,                0.31348,                0.89264,              0.0050887,              0.0050887,              0.0050887
                    130,                0.33603,                0.28686,                0.87658,                0.94579,                0.81279,                 0.8798,                0.79899,                0.47421,                0.31351,                0.89238,                0.00505,                0.00505,                0.00505
                    131,                0.34505,                0.29422,                0.88013,                0.94637,                  0.813,                0.87965,                0.79908,                0.47458,                0.31343,                0.89259,              0.0050113,              0.0050113,              0.0050113
                    132,                0.34131,                0.29315,                 0.8786,                0.95058,                0.80783,                0.87971,                0.79906,                0.47483,                0.31355,                0.89287,              0.0049727,              0.0049727,              0.0049727
                    133,                0.33692,                0.28715,                0.87557,                 0.9516,                0.80857,                0.88016,                0.79942,                0.47468,                0.31309,                0.89279,               0.004934,               0.004934,               0.004934
                    134,                  0.345,                0.29463,                0.87931,                 0.9505,                0.80949,                0.88019,                0.79935,                0.47529,                0.31337,                0.89318,              0.0048953,              0.0048953,              0.0048953
                    135,                0.34399,                0.29239,                0.87876,                0.95445,                0.80543,                   0.88,                0.79934,                0.47494,                0.31358,                0.89307,              0.0048566,              0.0048566,              0.0048566
                    136,                 0.3417,                0.29171,                0.87801,                0.95449,                0.80599,                0.88083,                0.79962,                0.47479,                0.31298,                0.89277,               0.004818,               0.004818,               0.004818
                    137,                0.34081,                0.29281,                0.87676,                0.95486,                0.80596,                0.88093,                0.79948,                0.47479,                 0.3129,                0.89276,              0.0047793,              0.0047793,              0.0047793
                    138,                0.33911,                0.28997,                0.87712,                0.95359,                0.80635,                0.88088,                0.79952,                 0.4756,                0.31254,                0.89312,              0.0047406,              0.0047406,              0.0047406
